distance,elevation,gradient,hypso
15524.6212024586,2628,0.56,0.669706458722212
15512.1212024586,2621,0.56,0.661466925008262
15499.6212024586,2614,0.56,0.64363196125908
15487.1212024586,2607,0.56,0.647703827852022
15474.6212024586,2600,0.48,0.65166602185898
15462.1212024586,2594,0.4,0.654915199127844
15449.6212024586,2589,0.16,0.657492104879877
15437.1212024586,2587,0.169705627484771,0.641838566280097
12638.4406486746,2109.01196289062,0.000179538831160647,0.393462771305666
12490.5853096152,2099,0.08,0.390741050887481
12478.0853096152,2098,0.16,0.391264672984461
12465.5853096152,2096,0.0565685424949238,0.392263230862625
15542.2988719883,2638,0.565685424949238,0.670939478014389
12620.7629791449,2109.0087890625,0.00017578125,0.393198265987464
12608.2629791449,2109.00659179688,0.00017578125,0.392802702366628
12595.7629791449,2109.00439453125,0.00017578125,0.39254172426329
12583.2629791449,2109.00219726562,0.00017578125,0.392382516298703
12570.7629791449,2109,0.08,0.392291541528985
12558.2629791449,2108,0.08,0.392799619376426
12545.7629791449,2107,0.16,0.393362741818313
12533.2629791449,2105,0.16,0.39446703449377
12520.7629791449,2103,0.16,0.395413351158283
12508.2629791449,2101,0.113137084989848,0.39645306962825
12447.9076400856,2095,0.08,0.392624654508824
12435.4076400856,2094,0.08,0.393047181930234
12422.9076400856,2093,0.08,0.393565249827047
12410.4076400856,2092,0.08,0.393991649151086
12397.9076400856,2091,0.08,0.39448099738647
12385.4076400856,2090,0.08,0.395014854909021
12372.9076400856,2089,0.0565685424949238,0.393917016859458
15597.476541518,2672,0.64,0.691212069929658
15584.976541518,2664,0.64,0.695568132503978
15572.476541518,2656,0.64,0.699772785458269
15559.976541518,2648,0.565685424949238,0.683943491925593
12355.2299705559,2088,0.226274169979695,0.394469273598097
15665.1542110476,2707,0.4,0.673691093195125
15652.6542110476,2702,0.48,0.676640518484855
15640.1542110476,2696,0.56,0.680206319760553
15627.6542110476,2689,0.56,0.682574931619518
15615.1542110476,2682,0.565685424949238,0.686006215947744
12337.5523010263,2084,0.113137084989848,0.396226187444476
15682.8318805773,2713,0.339411254969543,0.677459616396894
12319.8746314966,2082,0.07931640625,0.397190996149414
12307.3746314966,2081.00854492188,0.000179538831160647,0.397639151198626
15713.0095501069,2725,0.4,0.679884518846481
15700.5095501069,2720,0.395979797464467,0.680560973541384
12289.6969619669,2081.00537109375,0.00017578125,0.396929376412429
15743.1872196366,2741,0.64,0.689187250902336
15730.6872196366,2733,0.45254833995939,0.683610139664429
12277.1969619669,2081.00317382812,0.000179538831160647,0.396855505574367
15760.8648891663,2756,0.848528137423857,0.674181351621401
12259.5192924373,2081,0.0559056298875614,0.395859027629026
15778.5425586959,2769,0.735391052434009,0.664949878002175
12241.8416229076,2080.01171875,0.00025390625,0.396192878273961
12229.3416229076,2080.00854492188,0.00017578125,0.396157083144618
12216.8416229076,2080.00634765625,0.000179538831160647,0.3959388551132
15796.2202282256,2782,0.735391052434009,0.655011825518737
12199.1639533779,2080.00317382812,0.000179538831160647,0.395839159555415
15826.3978977553,2802,0.64,0.640319381975139
15813.8978977553,2794,0.678822509939086,0.645263064904908
12181.4862838483,2080,0.0565685424949238,0.38798391292987
15919.0755672849,2862,0.64,0.657379730415657
15906.5755672849,2854,0.72,0.664475846204404
15894.0755672849,2845,0.64,0.660205314009662
15881.5755672849,2837,0.72,0.646202830377356
15869.0755672849,2828,0.64,0.64243439925114
15856.5755672849,2820,0.64,0.636807331628303
15844.0755672849,2812,0.565685424949238,0.631515637530072
12163.8086143186,2079,0.24,0.388409231504217
12151.3086143186,2076,0.24,0.390064175449678
12138.8086143186,2073,0.226274169979695,0.391666200861628
15936.7532368146,2872,0.565685424949238,0.679221854304635
12121.130944789,2069,0.113137084989848,0.39384642341262
15966.9309063442,2890,0.64,0.692009987515606
15954.4309063442,2882,0.565685424949238,0.674478477418734
12103.4532752593,2067,0.113137084989848,0.394736242141528
15984.6085758739,2902,0.678822509939086,0.698361299185556
12085.7756057296,2065,0.16,0.39578973552236
16002.2862454036,2913,0.622253967444162,0.688018939134015
12073.2756057296,2063,0.08,0.396857041346721
